"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","EI","mean","sd"
"294429",0.436,0.482,0.006,0.076,0,0,0,0,0,0,0,0.385239233,0.337306504,0.18372744,0.640540541,0.5,0.0750198562053788,25.7405959733542,4.25603429255896
"43725",0.29,0.444,0.032,0.234,0,0,0,0,0,0,0,0.75364118,0.312899126,0.378270114,0.578378378,0.5,0.0750188045069262,26.432826089559,3.92785359752066
"43413",0.308,0.45,0.026,0.216,0,0,0,0,0,0,0,0.718908285,0.306296002,0.355621942,0.57027027,0.5,0.0750172358793088,26.9533937287119,3.67795805857236
"211648",0.362,0.454,0.03,0.154,0,0,0,0,0,0,0,0.580862761,0.36006266,0.34071943,0.640540541,0.5,0.0750154197950128,27.504222960779,3.41027902745465
"294428",0.438,0.482,0.006,0.074,0,0,0,0,0,0,0,0.379174801,0.338816521,0.181258451,0.640540541,0.5,0.0750145102454067,25.6804698619153,4.28427576210849
"126399",0.376,0.474,0.006,0.144,0,0,0,0,0,0,0,0.566618543,0.289954991,0.248533249,0.575675676,0.5,0.0750093987401979,26.2760815525084,4.0024571621072
"168615",0.378,0.472,0.01,0.14,0,0,0,0,0,0,0,0.555968531,0.305255494,0.26147327,0.597297297,0.5,0.0750061805551796,26.7505327129541,3.77556002333995
"42161",0.388,0.474,0.002,0.136,0,0,0,0,0,0,0,0.543820465,0.284656253,0.226440447,0.537837838,0.5,0.0750042806072818,26.176450267097,4.04976213396367
"36828",0.322,0.474,0,0.176,0,0,0,0.028,0,0,0,0.67526684,0.308058424,0.3363415,0.594594595,0.5,0.0750025791127501,26.9087888332732,3.69933614438552
"299415",0.358,0.488,0,0.15,0,0,0,0.004,0,0,0,0.599755756,0.270115612,0.238063312,0.643243243,0.5,0.075001145889285,28.4114316451444,2.96082771925362
